F98F F930
F868 0
F848 9
F81C 4
F818 0
F855 2
F88F 0
F877 0
F82A 0
F811 0
F83A 0
F856 0
F846 0
F83F 0
F84B 0
F841 0
F831 0
F855 0
F893 2
F89E 0
F875 0
F85C 0
F86E 0
F893 0
F8B8 0
F8BD 0
F888 0
F842 0
F839 0
F873 0
F89E 0
F877 10
F829 0
F809 10
F82F 0
F867 0
F87D 0
F86F 0
F85F 4
F877 4
F8B6 0
F8E6 0
F8E1 0
F8C9 0
F8CA 1
F8D1 1
F8B8 C
F88C 0
F86D 6
F865 0
F865 0
F85A 0
F839 2
F814 0
F80C 0
F828 0
F856 2
F869 4
F840 0
F80C 0
F824 4
F87F 10
F8B9 3
F89F 8
F868 0
F85D C
F882 0
F8B1 4
F8BF 0
F89F 0
F869 0
F845 0
F83D 0
F836 0
F823 0
F817 0
F81A 6
F811 8
F7F0 0
F7D6 0
F7E9 0
F823 0
F848 1
F82B 0
F7F9 2
F801 0
F845 0
F876 1
F866 0
F830 0
F811 0
F82A 0
F85A 0
F85D 0
F816 0
F7CB 0
F7C7 0
F7F2 0
F805 0
F7EB 0
F7BD 0
F7A1 0
F7B1 2
F7E7 0
F80E 0
F803 0
F7EB 0
F7F7 0
F82C 0
F860 0
F865 0
F838 0
F803 0
F7F7 0
F817 0
F83A 0
F82C 0
F7E0 0
F796 0
F799 0
F7DB 0
F808 0
F7FC 0
F7E1 0
F7D3 0
F7D5 0
F7F5 0
F82E 0
F84D 0
F828 0
F7F0 0
F7F5 0
F82C 0
F83F 0
F80D 0
F7C5 0
F7A8 0
F7C0 0
F7E2 0
F7DA 0
F7A6 0
F78C 0
F7BE 0
F815 0
F83F 0
F82A 0
F80C 0
F81C 0
F861 0
F8A3 0
F8A5 0
F870 0
F840 0
F837 0
F841 0
F84A 0
F847 0
F833 0
F817 0
F809 0
F80A 0
F812 0
F822 0
F833 20
F834 5
F833 0
F84D 9
F864 4
F85D 1
F860 1
F898 2
F8D5 13
F8D1 0
F89C 0
F886 0
F8AA 0
F8DF 2
F8F7 0
F8DE 0
F8A3 2
F871 20
F878 10
F8AB 0
F8C8 4
F8AB 20
F872 20
F856 0
F864 14
F88A 20
F8BB 11
F8E2 0
F8DE 0
F8AE 20
F897 6
F8D6 0
F930 5
F93D 30
F8F7 0
F8BD 0
F8C8 0
F8F7 0
F907 0
F8E1 10
F8B6 10
F8B6 0
F8C6 0
F8B3 0
F891 10
F888 10
F893 4
F8A0 3
F8AA 0
F8A1 0
F88B 2A
F89E 24
F8DF 0
F908 0
F8FC 1
F8ED 0
F8EC 0
F8DE 0
F8CF 8
F8E6 0
F907 0
F8F2 22
F8BC 1
F8B9 4
F8F3 24
F922 0
F909 1
F8BD 0
F88A 4
F8A7 10
F8F0 0
